4.76% Epoch [1/2], Step [77/809], Loss: 3.9093, Perplexity: 49.8652
4.82% Epoch [1/2], Step [78/809], Loss: 3.7968, Perplexity: 44.5605
4.88% Epoch [1/2], Step [79/809], Loss: 3.7925, Perplexity: 44.3655
4.94% Epoch [1/2], Step [80/809], Loss: 3.9187, Perplexity: 50.3354
5.01% Epoch [1/2], Step [81/809], Loss: 3.7326, Perplexity: 41.7860
5.07% Epoch [1/2], Step [82/809], Loss: 3.6678, Perplexity: 39.1664
5.13% Epoch [1/2], Step [83/809], Loss: 4.1513, Perplexity: 63.5196
5.19% Epoch [1/2], Step [84/809], Loss: 3.6721, Perplexity: 39.3361
5.25% Epoch [1/2], Step [85/809], Loss: 3.7047, Perplexity: 40.6362
5.32% Epoch [1/2], Step [86/809], Loss: 3.7359, Perplexity: 41.9242
5.38% Epoch [1/2], Step [87/809], Loss: 3.7048, Perplexity: 40.6439
5.44% Epoch [1/2], Step [88/809], Loss: 3.6778, Perplexity: 39.5573
5.50% Epoch [1/2], Step [89/809], Loss: 4.0870, Perplexity: 59.5618
5.56% Epoch [1/2], Step [90/809], Loss: 3.5793, Perplexity: 35.8474
5.62% Epoch [1/2], Step [91/809], Loss: 4.1129, Perplexity: 61.1265
5.69% Epoch [1/2], Step [92/809], Loss: 3.6309, Perplexity: 37.7485
5.75% Epoch [1/2], Step [93/809], Loss: 3.6910, Perplexity: 40.0845
5.81% Epoch [1/2], Step [94/809], Loss: 3.6349, Perplexity: 37.8973
5.87% Epoch [1/2], Step [95/809], Loss: 3.6262, Perplexity: 37.5687
5.93% Epoch [1/2], Step [96/809], Loss: 3.9899, Perplexity: 54.0470
6.00% Epoch [1/2], Step [97/809], Loss: 3.6484, Perplexity: 38.4146
6.06% Epoch [1/2], Step [98/809], Loss: 3.6960, Perplexity: 40.2860
6.12% Epoch [1/2], Step [99/809], Loss: 3.9367, Perplexity: 51.2495
6.18% Epoch [1/2], Step [100/809], Loss: 3.6618, Perplexity: 38.9328
6.24% Epoch [1/2], Step [101/809], Loss: 3.6770, Perplexity: 39.5292
6.30% Epoch [1/2], Step [102/809], Loss: 3.5984, Perplexity: 36.5400
6.37% Epoch [1/2], Step [103/809], Loss: 3.5891, Perplexity: 36.2026
6.43% Epoch [1/2], Step [104/809], Loss: 3.6456, Perplexity: 38.3041
6.49% Epoch [1/2], Step [105/809], Loss: 3.6136, Perplexity: 37.0982
6.55% Epoch [1/2], Step [106/809], Loss: 3.5674, Perplexity: 35.4258
6.61% Epoch [1/2], Step [107/809], Loss: 3.7260, Perplexity: 41.5132
6.67% Epoch [1/2], Step [108/809], Loss: 3.6085, Perplexity: 36.9093
6.74% Epoch [1/2], Step [109/809], Loss: 3.5271, Perplexity: 34.0259
6.80% Epoch [1/2], Step [110/809], Loss: 3.7882, Perplexity: 44.1747
6.86% Epoch [1/2], Step [111/809], Loss: 3.7063, Perplexity: 40.7044
6.92% Epoch [1/2], Step [112/809], Loss: 3.4767, Perplexity: 32.3519
6.98% Epoch [1/2], Step [113/809], Loss: 3.5696, Perplexity: 35.5026
7.05% Epoch [1/2], Step [114/809], Loss: 3.5814, Perplexity: 35.9242
7.11% Epoch [1/2], Step [115/809], Loss: 3.5283, Perplexity: 34.0674
7.17% Epoch [1/2], Step [116/809], Loss: 3.5606, Perplexity: 35.1828
